id,lon,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation
WR_38_5,-50.55317022,-26.66376112,15.51875,11.65462121,56.44629858,319.4396834,25.45204545,4.804772727,20.64727273,19.26662879,11.54397727,19.26662879,11.54397727,1622.97526,183.9311642,100.4763053,18.86174108,473.7099245,341.8363237,473.7099245,341.8363237,1114
WR_38_50,-50.54187634,-26.67126852,15.44173295,11.58964015,56.36735273,319.5573891,25.27659091,4.715681818,20.56090909,19.19087121,11.46708333,19.19087121,11.46708333,1617.218592,183.2142799,100.2165914,18.90256375,473.1614846,340.4401827,473.1614846,340.4401827,1109
WR_38_57,-50.52907821,-26.67666082,15.32780303,11.54465909,56.39669146,317.815114,25.15909091,4.688636364,20.47045455,19.06041667,11.37424242,19.06041667,11.37424242,1609.383525,182.1879497,99.78057516,18.99306952,472.5294412,338.4325703,472.5294412,338.4325703,1123
WR_38_6,-50.53833286,-26.68637037,15.32780303,11.54465909,56.39669146,317.815114,25.15909091,4.688636364,20.47045455,19.06041667,11.37424242,19.06041667,11.37424242,1614.23506,182.9249361,99.2928833,18.91453052,472.0832281,340.6436527,472.0832281,340.6436527,1069
WR_38_60,-50.53735039,-26.67908984,15.32780303,11.54465909,56.39669146,317.815114,25.15909091,4.688636364,20.47045455,19.06041667,11.37424242,19.06041667,11.37424242,1614.193692,182.8558369,99.80150929,18.91886763,472.5752222,340.039218,472.5752222,340.039218,1113
WR_38_7,-50.53570505,-26.66096539,15.55817235,11.65816288,56.4901896,319.8678451,25.48977273,4.852272727,20.6375,19.30901515,11.57693182,19.30901515,11.57693182,1614.147419,182.7884368,100.1062909,19.01981483,473.5524636,339.1098042,473.5524636,339.1098042,1094
WR_38_8,-50.52874213,-26.65905205,15.55817235,11.65816288,56.4901896,319.8678451,25.48977273,4.852272727,20.6375,19.30901515,11.57693182,19.30901515,11.57693182,1610.936141,182.3810016,99.96447727,19.08970302,473.5528159,338.0795359,473.5528159,338.0795359,1079
WR_38_9,-50.5344892,-26.67652429,15.32780303,11.54465909,56.39669146,317.815114,25.15909091,4.688636364,20.47045455,19.06041667,11.37424242,19.06041667,11.37424242,1612.656174,182.6267774,99.92293388,18.94368989,472.6856325,339.3774574,472.6856325,339.3774574,1113
WR_38_91,-50.54558585,-26.67473277,15.44173295,11.58964015,56.36735273,319.5573891,25.27659091,4.715681818,20.56090909,19.19087121,11.46708333,19.19087121,11.46708333,1619.474088,183.5288466,100.2940157,18.84865156,473.089595,341.2470384,473.089595,341.2470384,1109
WR_39_1,-50.04379805,-26.15782235,17.00037879,11.69806818,57.38758627,314.1521184,26.69840909,6.314090909,20.38431818,20.64579545,13.08488636,20.64579545,13.08488636,1563.960939,177.4488977,95.53088926,21.06283408,492.7925092,324.5967258,492.7925092,324.5967258,849
