id,lon,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation
U12577,-55.8125,-34.14583333,16.82416667,10.67845833,44.57250687,475.4245119,29.801,5.8435,23.9575,20.28725,11.03466667,22.60004167,11.03466667,1147.839481,109.9793877,86.75013681,6.86369119,302.851558,267.6271426,288.674485,267.6271426,
U12544,-57.1875,-34.14583333,17.18783333,9.84775,41.69727636,482.9045763,29.92575,6.3085,23.61725,19.57629167,11.377625,23.18220833,11.377625,1147.903606,118.054008,71.35850491,14.83224563,317.9160067,228.5844532,302.541726,228.5844532,
U12826,-56.1875,-34.22916667,16.867,10.653875,44.07618476,486.2635667,30.002,5.8305,24.1715,19.32508333,10.972,22.78804167,10.972,1148.008422,112.4818045,84.39264542,7.42107218,302.657494,265.6653136,289.1583148,265.6653136,
U13096,-55.6875,-34.3125,16.67578125,10.36035417,44.21172325,466.1266086,29.37825,5.94475,23.4335,16.111,10.98929167,22.3355,10.98929167,1148.03983,107.512983,87.03545483,5.790079826,298.8532798,273.0099715,285.2645613,273.0099715,
U12555,-56.72916667,-34.14583333,17.162375,10.691,43.56427575,486.2817836,30.53575,5.995,24.54075,19.56916667,12.099125,23.20645833,11.3555,1148.126329,119.5830078,76.06081735,14.59077203,324.3470856,245.0152406,288.2769813,245.6478557,
U14148,-54.85416667,-34.64583333,16.52490625,8.487604167,41.78924284,425.668916,27.30425,6.99375,20.3105,13.50258333,20.45641667,21.68570833,11.35604167,1148.3026,103.0166371,84.2361,6.246740916,297.7185048,259.1747421,268.6967881,297.0133409,
U9434,-57.77083333,-33.14583333,17.945,11.17754167,44.03901212,496.3640384,31.3495,5.9685,25.381,21.260875,11.89116667,23.99283333,11.89116667,1148.340484,126.974518,63.98653108,21.51948926,347.2088921,199.4085836,336.8129301,199.4085836,363
U9042,-57.97916667,-33.02083333,18.00561458,11.40347917,44.32710093,497.0789491,31.59475,5.869,25.72575,21.3435,11.91745833,24.054875,11.91745833,1148.392689,126.6214919,64.42296191,21.21296996,349.6431827,204.5979961,336.6585369,204.5979961,363
U10595,-57.77083333,-33.52083333,17.5013125,10.53558333,42.79321818,493.7642306,30.55425,5.9345,24.61975,23.08166667,11.498,23.55895833,11.498,1148.448037,119.7137782,68.11420976,20.20036895,343.9815397,204.9075388,327.0951063,204.9075388,
U12690,-56.47916667,-34.1875,16.96985417,10.77245833,43.90157343,488.8818934,30.3345,5.79675,24.53775,19.429625,11.86429167,22.98929167,11.09441667,1148.451897,117.590739,77.19487839,12.23028774,318.6399944,248.4375951,287.8910504,254.6626805,
U13902,-54.35416667,-34.5625,16.5045,9.358375,44.33987966,423.3916591,27.64025,6.53425,21.106,11.406875,20.36829167,21.64825,11.406875,1148.486865,106.5600968,72.4520292,11.09452585,313.8793214,245.8382319,273.1464568,313.8793214,
U9176,-57.77083333,-33.0625,18.11434375,11.23502083,44.00713213,495.418609,31.573,6.043,25.53,21.45229167,12.07025,24.144375,12.07025,1148.527974,125.6187333,65.75231088,20.54658141,346.0823089,205.988401,335.9849335,205.988401,363
U12808,-56.9375,-34.22916667,17.08413542,10.3279375,42.81454037,483.1455292,30.21325,6.09075,24.1225,19.446625,11.3085,23.10383333,11.3085,1148.593312,117.5613795,73.30078895,14.21140547,320.9517646,242.0747758,288.7479324,242.0747758,
U12941,-56.77083333,-34.27083333,17.17642708,10.65102083,43.44296703,484.3660718,30.621,6.10375,24.51725,19.51016667,12.11654167,23.22595833,11.41958333,1148.633323,126.4187169,70.18540444,19.36724582,331.4320288,241.9942388,281.5214851,249.878684,
U14036,-54.14583333,-34.60416667,16.44488542,9.111979167,44.01337584,419.081184,27.285,6.58225,20.70275,11.403125,20.20083333,21.53254167,11.403125,1148.878305,108.7099895,72.94477898,11.05499887,312.6347174,247.1067165,295.953219,312.6347174,
U14152,-54.6875,-34.64583333,16.42426042,8.6408125,42.32113776,423.7940635,27.2065,6.78925,20.41725,11.29670833,20.32091667,21.56854167,11.29670833,1148.957088,103.442897,82.75927961,6.718585567,301.821596,256.994308,269.4194566,301.821596,
U8524,-58.0625,-32.85416667,18.14723958,11.50177083,45.05286368,486.5311312,31.5895,6.06,25.5295,21.53745833,12.166375,24.05308333,12.166375,1148.977754,119.4831069,63.49090249,20.96520601,345.6129253,207.8969495,332.0163578,207.8969495,363
U13489,-55.4375,-34.4375,16.48644792,10.0069375,44.28338312,450.9488747,28.70275,6.10525,22.5975,19.962625,20.78104167,21.963875,10.99358333,1149.157821,105.4602748,87.67920066,5.617799866,300.1475371,272.7271181,276.7804475,280.9621811,
U11113,-57.6875,-33.6875,17.42460417,10.09941667,41.93021606,490.4385588,30.25,6.16375,24.08625,22.98483333,11.47254167,23.45895833,11.47254167,1149.240698,123.2738288,64.12734601,20.72329909,343.4928928,204.9923895,321.5749952,204.9923895,
