id,lon,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation
YRK22,30.13,-23.78,20.89645833,13.53454167,59.73734833,334.4673156,29.886,7.22925,22.65675,24.042375,16.33229167,24.34454167,16.33229167,933.387037,184.264989,10.30380011,86.08342297,503.3845026,35.44025805,496.3200738,35.44025805,813
YRK23,30.67,-23.67,22.43604167,14.07183333,59.72067494,345.2506313,32.17,8.60725,23.56275,26.07095833,17.66208333,26.07095833,17.66208333,538.1576219,100.8413345,6.817086545,81.23718405,283.8870805,23.35159028,283.8870805,23.35159028,808
YRK24,30.15,-22.98,18.67535417,11.5615,57.50488057,311.1512206,27.097,6.99175,20.10525,21.80179167,14.42733333,21.8425,14.42733333,1092.32418,241.6032935,10.07266916,85.83484029,612.0987634,51.05132298,539.1027727,51.05132298,820
YRK25,29.58,-23.9,18.44873958,13.1044375,55.51786773,382.9504554,27.8045,4.2005,23.604,21.914625,13.166375,22.334375,13.166375,514.4086177,92.08789218,1.9813771,86.03835674,268.8736828,10.94061661,262.4522145,10.94061661,800
YRK26,30.22,-23.05,20.97021875,11.98377083,58.47524652,314.5823968,29.5805,9.08675,20.49375,24.20529167,16.67029167,24.20529167,16.67029167,1246.665044,278.8700505,15.65893396,86.96232788,710.6166906,64.5651612,710.6166906,64.5651612,788
YRK27,30.02,-23.33,19.874625,12.28025,58.78882173,317.1244986,28.54325,7.6545,20.88875,23.21041667,15.49216667,23.21041667,15.49216667,748.1094527,148.4354631,10.07238776,83.02237756,403.2399412,33.5799473,403.2399412,33.5799473,808
YRK28,29.55,-23.37,20.02330208,13.88864583,58.28157839,368.0368221,29.598,5.76775,23.83025,23.45416667,14.94083333,23.78866667,14.94083333,418.5847472,74.58905663,1.288293441,85.63449911,220.2451518,10.72492798,217.5011365,10.72492798,808
YRK29,30.1,-23.73,19.78872917,12.72375,58.83406931,305.7008506,28.4495,6.823,21.6265,22.89625,15.604375,22.89625,15.604375,1101.98876,218.0938905,13.8819358,84.32444289,598.8914308,48.18136923,598.8914308,48.18136923,771
YRK30,30.28,-23.08,21.25113542,12.0451875,60.71545586,293.4320036,29.625,9.78625,19.83875,24.33979167,17.21375,24.33979167,17.21375,879.1947266,186.5660438,12.42871948,85.29698876,486.7299851,46.20903289,486.7299851,46.20903289,781
YRK31,29.9,-23.05,20.0425,12.68625,57.56860699,341.3525019,28.95625,6.9195,22.03675,23.52116667,15.32395833,23.52116667,15.32395833,632.2358835,135.2812781,6.413838675,85.35880461,345.1788207,25.19691359,345.1788207,25.19691359,820
