id,lon,lat,,,,,,,,,,,,,,,,,,,,
YRK92,30.97157,-25.45458,,,,,,,,,,,,,,,,,,,,
YRK93,30.659719,-25.982256,,,,,,,,,,,,,,,,,,,,
YRK94,30.297778,-26.888058,,,,,,,,,,,,,,,,,,,,
YRK95,30.776944,-27.009186,,,,,,,,,,,,,,,,,,,,
YRK96,30.623333,-27.039172,,,,,,,,,,,,,,,,,,,,
YRK97,30.738611,-26.667783,,,,,,,,,,,,,,,,,,,,
YRK98,30.848056,-25.725558,,,,,,,,,,,,,,,,,,,,
YRK99,30.627222,-26.901672,,,,,,,,,,,,,,,,,,,,
YRK100,30.324167,-26.675561,,,,,,,,,,,,,,,,,,,,
YRK101,30.514167,-26.243078,,,,,,,,,,,,,,,,,,,,
YRK102,30.327778,-26.126706,,,,,,,,,,,,,,,,,,,,
YRK103,30.995556,-25.698333,,,,,,,,,,,,,,,,,,,,
YRK104,30.956944,-27.327222,,,,,,,,,,,,,,,,,,,,
YRK105,30.428056,-27.125,,,,,,,,,,,,,,,,,,,,
YRK106,30.098611,-25.422778,,,,,,,,,,,,,,,,,,,,
YRK107,30.853056,-24.958611,,,,,,,,,,,,,,,,,,,,
YRK108,30.5775,-25.5225,,,,,,,,,,,,,,,,,,,,
YRK109,31.570556,-25.474167,,,,,,,,,,,,,,,,,,,,
YRK110,31.780833,-25.35,,,,,,,,,,,,,,,,,,,,
YRK111,30.760833,-24.995556,,,,,,,,,,,,,,,,,,,,
YRK112,31.3625,-25.661944,,,,,,,,,,,,,,,,,,,,
YRK113,30.911944,-27.129167,,,,,,,,,,,,,,,,,,,,
YRK114,30.678889,-25.317222,,,,,,,,,,,,,,,,,,,,
YRK115,30.82,-25.45,,,,,,,,,,,,,,,,,,,,
YRK116,30.55,-25.97,,,,,,,,,,,,,,,,,,,,
YRK117,31.05,-25.78,,,,,,,,,,,,,,,,,,,,
YRK118,30.887222,-25.075453,,,,,,,,,,,,,,,,,,,,
YRK119,30.83,-24.83,,,,,,,,,,,,,,,,,,,,
YRK120,30.2,-26.28,,,,,,,,,,,,,,,,,,,,
YRK121,30.63,-26.48,,,,,,,,,,,,,,,,,,,,
YRK122,30.73,-25.25,,,,,,,,,,,,,,,,,,,,
YRK123,30.6,-26.28,,,,,,,,,,,,,,,,,,,,
YRK124,30.22,-26.28,,,,,,,,,,,,,,,,,,,,
YRK125,30.759006,-25.879422,,,,,,,,,,,,,,,,,,,,
YRK126,30.95,-24.87,,,,,,,,,,,,,,,,,,,,
YRK127,30.502359,-25.492614,,,,,,,,,,,,,,,,,,,,
YRK128,29.98,-26.5,,,,,,,,,,,,,,,,,,,,
YRK129,30.879444,-25.033928,,,,,,,,,,,,,,,,,,,,
YRK130,30.648806,-25.571596,,,,,,,,,,,,,,,,,,,,
YRK131,31.13951,-25.04884,,,,,,,,,,,,,,,,,,,,
YRK132,30.29089,-25.552674,,,,,,,,,,,,,,,,,,,,
YRK133,30.77,-25.18,,,,,,,,,,,,,,,,,,,,
YRK134,31.103668,-25.803564,,,,,,,,,,,,,,,,,,,,
YRK135,31.103614,-25.803622,,,,,,,,,,,,,,,,,,,,
YRK136,30.576794,-25.524712,,,,,,,,,,,,,,,,,,,,
YRK137,30.52,-26.23,,,,,,,,,,,,,,,,,,,,
YRK138,30.987618,-24.922763,,,,,,,,,,,,,,,,,,,,
YRK139,30.574383,-25.650406,,,,,,,,,,,,,,,,,,,,
YRK140,30.4,-26.4,,,,,,,,,,,,,,,,,,,,
YRK141,30.48,-25.11,,,,,,,,,,,,,,,,,,,,
YRK142,30.47,-25.1,,,,,,,,,,,,,,,,,,,,
YRK143,30.52001,-25.726246,,,,,,,,,,,,,,,,,,,,
YRK144,30.87,-24.58,,,,,,,,,,,,,,,,,,,,
YRK145,30.98,-25.82,,,,,,,,,,,,,,,,,,,,
YRK146,30.678733,-25.41224,,,,,,,,,,,,,,,,,,,,
YRK147,30.72,-24.88,,,,,,,,,,,,,,,,,,,,
YRK148,30.72,-24.93,,,,,,,,,,,,,,,,,,,,
YRK149,30.430867,-25.855915,,,,,,,,,,,,,,,,,,,,
YRK150,30.509266,-25.828398,,,,,,,,,,,,,,,,,,,,
YRK151,30.83,-25.82,,,,,,,,,,,,,,,,,,,,
YRK152,30.92,-25.5,,,,,,,,,,,,,,,,,,,,
YRK153,30.966667,-25.45,,,,,,,,,,,,,,,,,,,,
YRK154,30.97157,-25.45458,,,,,,,,,,,,,,,,,,,,
YRK155,30.78,-26.57,,,,,,,,,,,,,,,,,,,,
YRK156,30.97,-24.8,,,,,,,,,,,,,,,,,,,,
YRK157,30.297778,-26.888058,,,,,,,,,,,,,,,,,,,,
YRK158,31.02,-25,,,,,,,,,,,,,,,,,,,,
YRK159,30.75,-24.9,,,,,,,,,,,,,,,,,,,,
YRK160,30.93,-24.98,,,,,,,,,,,,,,,,,,,,
YRK161,30.78,-25.1,,,,,,,,,,,,,,,,,,,,
YRK162,30.9,-24.6,,,,,,,,,,,,,,,,,,,,
YRK163,30.627222,-26.901672,,,,,,,,,,,,,,,,,,,,
YRK164,30.699735,-25.770591,,,,,,,,,,,,,,,,,,,,
YRK165,30.619733,-25.78059,,,,,,,,,,,,,,,,,,,,
YRK166,30.9,-26.03,,,,,,,,,,,,,,,,,,,,
YRK167,30.8275,-25.150231,,,,,,,,,,,,,,,,,,,,
YRK168,30.568314,-25.335511,,,,,,,,,,,,,,,,,,,,
YRK169,30.335379,-25.713458,,,,,,,,,,,,,,,,,,,,
YRK170,30.445298,-25.321853,,,,,,,,,,,,,,,,,,,,
YRK171,30.58,-25.28,,,,,,,,,,,,,,,,,,,,
YRK172,30.514167,-26.243078,,,,,,,,,,,,,,,,,,,,
YRK173,30.93,-24.73,,,,,,,,,,,,,,,,,,,,
YRK174,30.32576,-26.038601,,,,,,,,,,,,,,,,,,,,
YRK175,30.95,-24.93,,,,,,,,,,,,,,,,,,,,
YRK176,30.88,-25.22,,,,,,,,,,,,,,,,,,,,
YRK23417,30.6733494,-25.25080253,,,,,,,,,,,,,,,,,,,,
YRK25130,30.83589884,-24.88317495,,,,,,,,,,,,,,,,,,,,
YRK25131,30.83516523,-24.88626386,,,,,,,,,,,,,,,,,,,,
YRK25133,30.83833073,-24.8916801,,,,,,,,,,,,,,,,,,,,
YRK25134,30.84057839,-24.88807125,,,,,,,,,,,,,,,,,,,,
YRK25135,30.84339197,-24.88685389,,,,,,,,,,,,,,,,,,,,
YRK25137,30.84446833,-24.88992883,,,,,,,,,,,,,,,,,,,,
YRK25138,30.84570152,-24.89261273,,,,,,,,,,,,,,,,,,,,
YRK25139,30.85014007,-24.89309174,,,,,,,,,,,,,,,,,,,,
YRK25140,30.84323905,-24.89392303,,,,,,,,,,,,,,,,,,,,
YRK25141,30.84699043,-24.89644635,,,,,,,,,,,,,,,,,,,,
YRK25142,30.85283245,-24.89972609,,,,,,,,,,,,,,,,,,,,
YRK25145,30.85499711,-24.8949948,,,,,,,,,,,,,,,,,,,,
YRK25146,30.85956041,-24.89566096,,,,,,,,,,,,,,,,,,,,
YRK25150,30.85742335,-24.89673645,,,,,,,,,,,,,,,,,,,,
YRK25151,30.86057925,-24.89839994,,,,,,,,,,,,,,,,,,,,
YRK25152,30.8666167,-24.90088345,,,,,,,,,,,,,,,,,,,,
YRK25154,30.85854641,-24.89808367,,,,,,,,,,,,,,,,,,,,
YRK25155,30.8631511,-24.9037006,,,,,,,,,,,,,,,,,,,,
YRK25157,30.85467796,-24.90051704,,,,,,,,,,,,,,,,,,,,
YRK25158,30.85813069,-24.90152595,,,,,,,,,,,,,,,,,,,,
YRK25159,30.85474216,-24.90540799,,,,,,,,,,,,,,,,,,,,
YRK25161,30.84918594,-24.90499204,,,,,,,,,,,,,,,,,,,,
YRK25162,30.85671655,-24.90848027,,,,,,,,,,,,,,,,,,,,
YRK25164,30.84558362,-24.90318867,,,,,,,,,,,,,,,,,,,,
YRK25169,30.84345793,-24.90654469,,,,,,,,,,,,,,,,,,,,
YRK25170,30.8431892,-24.9108638,,,,,,,,,,,,,,,,,,,,
YRK25171,30.84533815,-24.91272231,,,,,,,,,,,,,,,,,,,,
YRK25172,30.84594124,-24.90665889,,,,,,,,,,,,,,,,,,,,
YRK25173,30.84201255,-24.90971068,,,,,,,,,,,,,,,,,,,,
YRK25174,30.84877299,-24.90884788,,,,,,,,,,,,,,,,,,,,
YRK25175,30.8494574,-24.9105157,,,,,,,,,,,,,,,,,,,,
YRK25176,30.84835942,-24.91555652,,,,,,,,,,,,,,,,,,,,
YRK25177,30.84265599,-24.91373592,,,,,,,,,,,,,,,,,,,,
YRK25179,30.84515832,-24.91429897,,,,,,,,,,,,,,,,,,,,
YRK25180,30.84610715,-24.91509149,,,,,,,,,,,,,,,,,,,,
YRK25181,30.85200365,-24.9150707,,,,,,,,,,,,,,,,,,,,
YRK25182,30.85380232,-24.91819024,,,,,,,,,,,,,,,,,,,,
YRK25183,30.8588092,-24.89437443,,,,,,,,,,,,,,,,,,,,
YRK25185,30.85293757,-24.89491123,,,,,,,,,,,,,,,,,,,,
YRK25186,30.83096101,-24.89160364,,,,,,,,,,,,,,,,,,,,
YRK25187,30.82709804,-24.89349912,,,,,,,,,,,,,,,,,,,,
YRK25188,30.82077426,-24.8971322,,,,,,,,,,,,,,,,,,,,
YRK25189,30.82544414,-24.89811846,,,,,,,,,,,,,,,,,,,,
YRK25190,30.8286182,-24.89765747,,,,,,,,,,,,,,,,,,,,
YRK25191,30.83278326,-24.89918159,,,,,,,,,,,,,,,,,,,,
YRK25192,30.83478328,-24.89830212,,,,,,,,,,,,,,,,,,,,
YRK25193,30.83213344,-24.90376345,,,,,,,,,,,,,,,,,,,,
YRK25194,30.83325965,-24.90519731,,,,,,,,,,,,,,,,,,,,
YRK25195,30.82836333,-24.90406017,,,,,,,,,,,,,,,,,,,,
YRK25196,30.82971092,-24.90331542,,,,,,,,,,,,,,,,,,,,
YRK25197,30.82361542,-24.90592342,,,,,,,,,,,,,,,,,,,,
YRK25198,30.82145912,-24.90317989,,,,,,,,,,,,,,,,,,,,
YRK25199,30.82650368,-24.90415283,,,,,,,,,,,,,,,,,,,,
YRK25200,30.8149895,-24.89584476,,,,,,,,,,,,,,,,,,,,
YRK25201,30.81672455,-24.89908111,,,,,,,,,,,,,,,,,,,,
YRK25202,30.8129403,-24.89882822,,,,,,,,,,,,,,,,,,,,
YRK25203,30.8156677,-24.90285379,,,,,,,,,,,,,,,,,,,,
YRK25205,30.81059835,-24.90522469,,,,,,,,,,,,,,,,,,,,
YRK25206,30.81386039,-24.90704383,,,,,,,,,,,,,,,,,,,,
YRK25207,30.80874721,-24.90997895,,,,,,,,,,,,,,,,,,,,
YRK25209,30.80625065,-24.91487286,,,,,,,,,,,,,,,,,,,,
YRK25210,30.81567061,-24.91086951,,,,,,,,,,,,,,,,,,,,
YRK25211,30.81258215,-24.9171097,,,,,,,,,,,,,,,,,,,,
YRK25212,30.81099452,-24.91522669,,,,,,,,,,,,,,,,,,,,
YRK25213,30.81775294,-24.91701714,,,,,,,,,,,,,,,,,,,,
YRK25215,30.82560187,-24.91861724,,,,,,,,,,,,,,,,,,,,
YRK25216,30.82323236,-24.91491037,,,,,,,,,,,,,,,,,,,,
YRK25217,30.82290097,-24.91903012,,,,,,,,,,,,,,,,,,,,
YRK25218,30.82146244,-24.91261718,,,,,,,,,,,,,,,,,,,,
YRK25219,30.81831359,-24.91234434,,,,,,,,,,,,,,,,,,,,
YRK25220,30.82092801,-24.90736149,,,,,,,,,,,,,,,,,,,,
YRK25221,30.82334992,-24.90856878,,,,,,,,,,,,,,,,,,,,
YRK25222,30.82801019,-24.91208372,,,,,,,,,,,,,,,,,,,,
YRK25223,30.82934495,-24.90864967,,,,,,,,,,,,,,,,,,,,
YRK25224,30.83076257,-24.91189407,,,,,,,,,,,,,,,,,,,,
YRK25226,30.82548839,-24.91243297,,,,,,,,,,,,,,,,,,,,
YRK25228,30.8251933,-24.91576194,,,,,,,,,,,,,,,,,,,,
YRK25229,30.8315657,-24.91585949,,,,,,,,,,,,,,,,,,,,
YRK25230,30.83047967,-24.91829602,,,,,,,,,,,,,,,,,,,,
YRK25232,30.83655751,-24.91912768,,,,,,,,,,,,,,,,,,,,
YRK25233,30.8331341,-24.91447791,,,,,,,,,,,,,,,,,,,,
YRK25234,30.83666564,-24.92081459,,,,,,,,,,,,,,,,,,,,
YRK25235,30.83500719,-24.91109917,,,,,,,,,,,,,,,,,,,,
YRK25236,30.84140987,-24.92131473,,,,,,,,,,,,,,,,,,,,
YRK25239,30.83945517,-24.91139495,,,,,,,,,,,,,,,,,,,,
YRK25240,30.84134718,-24.91673467,,,,,,,,,,,,,,,,,,,,
YRK25241,30.83877909,-24.90558252,,,,,,,,,,,,,,,,,,,,
YRK25242,30.84098651,-24.90840308,,,,,,,,,,,,,,,,,,,,
YRK25243,30.83837163,-24.90871405,,,,,,,,,,,,,,,,,,,,
YRK25244,30.84207529,-24.90479232,,,,,,,,,,,,,,,,,,,,
YRK25245,30.83337384,-24.90588215,,,,,,,,,,,,,,,,,,,,
YRK25246,30.83522361,-24.90609712,,,,,,,,,,,,,,,,,,,,
YRK25247,30.83310955,-24.9079308,,,,,,,,,,,,,,,,,,,,
YRK25248,30.8351714,-24.90835041,,,,,,,,,,,,,,,,,,,,
YRK25249,30.84313434,-24.89832034,,,,,,,,,,,,,,,,,,,,
YRK25250,30.84332403,-24.90120742,,,,,,,,,,,,,,,,,,,,
YRK25251,30.84147698,-24.89630704,,,,,,,,,,,,,,,,,,,,
YRK25252,30.84346228,-24.90437264,,,,,,,,,,,,,,,,,,,,
YRK25253,30.81452702,-24.92142385,,,,,,,,,,,,,,,,,,,,
YRK25255,30.8111099,-24.91989814,,,,,,,,,,,,,,,,,,,,
YRK25256,30.82924231,-24.88289678,,,,,,,,,,,,,,,,,,,,
YRK25257,30.82602008,-24.88001907,,,,,,,,,,,,,,,,,,,,
YRK25258,30.82835694,-24.87979833,,,,,,,,,,,,,,,,,,,,
YRK25259,30.83081427,-24.88670627,,,,,,,,,,,,,,,,,,,,
YRK25260,30.82656826,-24.88802188,,,,,,,,,,,,,,,,,,,,
YRK25264,30.81976092,-24.88787598,,,,,,,,,,,,,,,,,,,,
YRK25265,30.82490236,-24.87818415,,,,,,,,,,,,,,,,,,,,
YRK25266,30.82178944,-24.8797703,,,,,,,,,,,,,,,,,,,,
YRK25267,30.81843198,-24.87701409,,,,,,,,,,,,,,,,,,,,
YRK25268,30.8206062,-24.88435675,,,,,,,,,,,,,,,,,,,,
YRK25269,30.82227191,-24.87671138,,,,,,,,,,,,,,,,,,,,
YRK25270,30.80678901,-24.88238104,,,,,,,,,,,,,,,,,,,,
YRK25272,30.80960507,-24.88775266,,,,,,,,,,,,,,,,,,,,
YRK25273,30.8135804,-24.88750505,,,,,,,,,,,,,,,,,,,,
YRK25275,30.81321886,-24.89320358,,,,,,,,,,,,,,,,,,,,
YRK25276,30.80948199,-24.89642184,,,,,,,,,,,,,,,,,,,,
YRK25277,30.80832046,-24.89201376,,,,,,,,,,,,,,,,,,,,
YRK25279,30.80675426,-24.89356528,,,,,,,,,,,,,,,,,,,,
YRK25280,30.80197376,-24.88620711,,,,,,,,,,,,,,,,,,,,
YRK25281,30.80415655,-24.87974096,,,,,,,,,,,,,,,,,,,,
YRK25282,30.80077695,-24.87874006,,,,,,,,,,,,,,,,,,,,
YRK25283,30.80064005,-24.87309895,,,,,,,,,,,,,,,,,,,,
YRK25284,30.80112203,-24.86983563,,,,,,,,,,,,,,,,,,,,
